graph	length	nodes	edges	paths	steps	png
graphs/ADE2.pggb.ext1000.gfa	1811	301	392	210	43158	figures/ADE2.pggb.ext1000.odgi.png
graphs/ADE2.poa.ext0.gfa	1793	302	377	211	42283	figures/ADE2.poa.ext0.odgi.png
graphs/ADE2.poa.ext1000.gfa	1811	280	371	210	38748	figures/ADE2.poa.ext1000.odgi.png
graphs/ADE2.syng.ext1000.gfa	8045	309	389	210	13402	figures/ADE2.syng.ext1000.odgi.png
graphs/CUP1.syng.ext0.gfa	141603	5371	6415	222	62234	figures/CUP1.syng.ext0.odgi.png
graphs/CUP1.syng.ext1000.gfa	129229	5442	6459	218	59496	figures/CUP1.syng.ext1000.odgi.png
graphs/CUP1.syng.ext5000.gfa	134762	5121	6140	224	58306	figures/CUP1.syng.ext5000.odgi.png
graphs/CUP1.syng.seed_drop0.gfa	129686	5465	6484	218	59708	figures/CUP1.syng.seed_drop0.odgi.png
graphs/CUP1.syng.seed_drop01.gfa	139383	5681	6686	222	58806	figures/CUP1.syng.seed_drop01.odgi.png
graphs/CUP1.syng.walk3.gfa	147376	5514	6559	247	62141	figures/CUP1.syng.walk3.odgi.png
graphs/CUP1.syng.walk7.gfa	120033	4467	5431	221	58124	figures/CUP1.syng.walk7.odgi.png
graphs/ENA1.syng.ext1000.gfa	157095	6145	7472	245	84393	figures/ENA1.syng.ext1000.odgi.png
graphs/FLO11.syng.ext1000.gfa	365108	15411	18048	256	108016	figures/FLO11.syng.ext1000.odgi.png
graphs/HXT67.syng.ext1000.gfa	141155	5412	6645	227	79370	figures/HXT67.syng.ext1000.odgi.png
graphs/SUC2.pggb.ext1000.gfa	28215	2735	3594	290	264318	figures/SUC2.pggb.ext1000.odgi.png
graphs/SUC2.poa.ext1000.gfa	10040	2616	3591	290	300705	figures/SUC2.poa.ext1000.odgi.png
graphs/SUC2.syng.ext1000.gfa	53057	2471	2983	290	41173	figures/SUC2.syng.ext1000.odgi.png
